통계명,분류명,항목,자료구분,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"소관별 예산편성현황","환경부","정부안","원자료","5,608,517,269","6,101,494,439","6,851,504,764","7,846,553,762","8,397,339,982","9,069,895,159","9,377,184,046","10,171,510,278","10,785,965,000","10,804,094,808","10,668,704,204","10,288,764,025","11,265,598,000","14,893,564,000","17,065,326,000","18,241,692,000","19,956,579,000"
"소관별 예산편성현황","환경부","국회확정","원자료","5,596,567,269","6,124,137,439","7,169,266,764","7,963,077,762","8,490,029,982","8,737,879,159","9,670,191,046","10,306,250,278","10,984,797,000","10,852,393,808","10,402,702,204","10,507,712,025","11,622,884,000","15,112,514,000","17,238,220,000","18,355,863,000","19,758,109,000"
"소관별 예산편성현황(추경)","환경부","정부안","원자료",0,"5,429,801,135","7,640,452,364",0,0,0,"9,404,070,681",0,"10,106,688,000","10,030,091,808","9,717,029,204","9,584,429,025","12,433,290,000","14,272,734,000","16,083,734,000","16,451,787,000",0
"소관별 예산편성현황(추경)","환경부","국회확정","원자료",0,"5,429,801,135","7,548,486,364",0,0,0,"9,144,613,681",0,"10,105,548,000","10,036,091,808","9,692,227,204","9,587,829,025","12,619,892,000","14,272,734,000","16,083,734,000","16,451,787,000",0
"회계별 예산편성현황","환경개선특별회계","정부안","원자료","2,895,472,000","3,093,039,688","3,415,062,682","3,918,295,381","4,221,068,911","4,530,057,000","4,657,403,557","4,818,825,139","4,966,129,000","4,932,750,808","4,847,676,204","4,666,376,025","4,689,198,000","6,290,437,000","7,363,673,000","6,859,148,000","6,732,132,000"
"회계별 예산편성현황","환경개선특별회계","국회확정","원자료","2,896,672,000","3,115,982,688","3,560,393,682","3,965,057,381","4,271,463,911","4,363,959,000","4,653,802,557","4,877,040,139","5,066,725,000","4,959,256,808","4,893,015,204","4,786,267,025","4,787,065,000","6,391,305,000","7,443,535,000","6,906,170,000","6,734,231,000"
"회계별 예산편성현황(추경)","환경개선특별회계","정부안","원자료",0,"3,130,911,688","4,163,153,682",0,0,0,"4,952,256,557",0,0,"5,031,981,808","5,041,101,204","4,786,267,025","5,750,178,000","6,523,079,000","7,548,495,000","6,741,462,000",0
"회계별 예산편성현황(추경)","환경개선특별회계","국회확정","원자료",0,"3,130,911,688","4,117,170,682",0,0,0,"4,825,012,557",0,0,"5,034,981,808","5,031,200,204","4,793,967,025","5,807,508,000","6,523,079,000","7,548,495,000","6,741,462,000",0
"분야별 예산편성현황","환경","정부안","원자료","5,769,742,226","6,302,508,047","7,108,525,203","8,049,911,530","8,594,864,982","9,245,429,147","9,582,510,046","10,360,515,278","10,991,916,000","11,041,476,808","10,920,911,204","10,550,867,025","10,825,578,000","14,363,374,000","16,510,140,000","18,576,204,000","19,516,792,000"
"분야별 예산편성현황","환경","국회확정","원자료","5,755,542,226","6,331,751,047","7,454,967,203","8,170,785,530","8,702,154,982","8,916,113,147","9,886,117,046","10,498,005,278","11,196,948,000","11,093,450,808","10,656,019,204","10,770,575,025","11,170,422,000","14,586,083,000","16,682,434,000","18,542,658,000","19,388,150,000"
"분야별 예산편성현황(추경)","환경","정부안","원자료",0,"5,535,238,743","7,822,443,803",0,0,0,"9,602,207,681",0,"10,305,424,000","10,274,079,808","9,957,207,204","9,833,452,025","11,944,159,000","13,692,078,000","15,472,040,000","15,853,044,000",0
"분야별 예산편성현황(추경)","환경","국회확정","원자료",0,"5,535,238,743","7,730,477,803",0,0,0,"9,350,350,681",0,"10,304,284,000","10,280,079,808","9,932,405,204","9,836,852,025","12,130,761,000","13,692,078,000","15,472,040,000","15,853,044,000",0
