통계명,분류명,항목,자료구분,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"소관별 세입/세출 결산 현황","환경부","(세입)예산현액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,225,139","5,126,893,000","5,037,512,808","5,033,731,204","4,796,962,300","5,810,614,000","6,535,879,000","7,561,276,000",0,0
"소관별 세입/세출 결산 현황","환경부","(세입)수납금액","원자료","2,929,781,948","3,033,293,831","4,004,229,513","3,964,092,402","4,399,298,386","4,193,492,002","4,405,082,189","4,789,319,965","5,470,932,473","5,602,233,824","5,341,508,654","5,166,855,018","6,063,685,619","7,105,158,906","7,669,328,248",0,0
"소관별 세입/세출 결산 현황","환경부","(세입)세입증감액","원자료","33,109,948","-97,617,857","-112,941,169","-964,979","127,834,475","-170,466,998","-419,930,368","-87,905,174","344,039,473","564,721,016","307,777,450","369,892,718","253,071,619","569,279,906","108,052,248",0,0
"소관별 세입/세출 결산 현황","환경부","(세출)예산현액","원자료","4,974,028,313","5,551,300,209","7,703,820,121","7,515,368,131","8,468,252,744","8,108,396,453","9,282,071,154","9,514,291,402","10,250,376,445","10,196,795,412","9,877,186,686","9,908,064,431","12,815,338,873","14,759,705,514","16,235,487,104",0,0
"소관별 세입/세출 결산 현황","환경부","(세출)지출금액","원자료","4,927,293,444","5,382,898,947","7,469,659,603","7,254,119,793","8,042,574,780","7,698,198,751","8,267,144,621","8,847,676,934","9,969,705,897","9,954,549,118","9,716,117,416","9,745,128,254","12,545,956,420","14,464,652,152","15,548,589,123",0,0
"소관별 세입/세출 결산 현황","환경부","(세출)세출증감액","원자료","46,734,869","168,401,262","234,160,518","261,248,338","425,677,965","410,197,702","1,014,926,533","666,614,468","280,670,548","242,246,294","161,069,269","162,936,178","269,382,453","295,053,361","686,897,981",0,0
"소관별 세입/세출 결산 현황","환경부","(세출)다음년도명시이월액","원자료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"소관별 세입/세출 결산 현황","환경부","(세출)다음년도사고이월액","원자료","30,218,074","130,785,019","216,570,459","250,074,434","160,646,219","127,118,097","149,707,124","144,828,445","103,699,730","184,342,802","115,739,487","73,553,543","137,703,514","117,937,006","239,638,896",0,0
"소관별 세입/세출 결산 현황","환경부","(세출)불용액","원자료","16,516,795","37,616,243","17,590,059","11,173,904","265,031,746","283,079,605","865,219,408","521,786,023","176,970,818","57,903,492","45,329,782","89,382,634","131,678,939","177,116,355","447,259,085",0,0
"소관별 세입 결산 현황","환경부","세입예산액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,225,139","5,126,893,000","5,037,512,808","5,033,731,204","4,796,501,025","5,810,614,000","6,535,879,000","7,561,276,000",0,0
"소관별 세입 결산 현황","환경부","이체등증감액","원자료",0,0,0,0,0,0,0,0,0,0,0,"461,275",0,0,0,0,0
"소관별 세입 결산 현황","환경부","세입예산현액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,225,139","5,126,893,000","5,037,512,808","5,033,731,204","4,796,962,300","5,810,614,000","6,535,879,000","7,561,276,000",0,0
"소관별 세입 결산 현황","환경부","징수결정액","원자료","3,736,117,555","3,837,577,689","4,879,640,461","4,864,738,463","5,369,348,766","5,191,936,378","5,415,461,760","5,784,699,576","6,508,334,536","6,602,080,119","6,288,275,580","6,073,209,240","6,955,644,945","7,971,799,352","8,481,787,415",0,0
"소관별 세입 결산 현황","환경부","수납금액","원자료","2,929,781,948","3,033,293,831","4,004,229,513","3,964,092,402","4,399,298,386","4,193,492,002","4,405,082,189","4,789,319,965","5,470,932,473","5,602,233,824","5,341,508,654","5,166,855,018","6,063,685,619","7,105,158,906","7,669,328,248",0,0
"소관별 세입 결산 현황","환경부","불납결손액","원자료","11,942,710","10,634,557","24,311,093","23,453,896","19,888,667","32,452,049","26,623,155","33,632,663","45,357,073","54,868,489","42,930,489","47,486,074","21,467,536","88,142,398","29,757,800",0,0
"소관별 세입 결산 현황","환경부","미수납액","원자료","794,392,898","793,649,302","851,099,855","877,192,165","950,161,713","965,992,326","983,756,415","961,746,948","992,044,991","944,977,806","903,836,437","858,868,148","870,491,791","778,498,048","782,701,367",0,0
"소관별 세출 결산 현황","환경부","세출예산액","원자료","4,921,773,000","5,429,801,135","7,548,486,364","7,173,625,762","7,677,777,822","7,906,926,000","9,144,613,681","9,364,584,278","10,105,548,000","10,036,091,808","9,692,227,204","9,587,829,025","12,619,892,000","14,272,734,000","29,797,374,000",0,0
"소관별 세출 결산 현황","환경부","전년도이월액","원자료","36,228,870","30,218,074","130,785,019","216,570,459","250,074,434","160,646,219","127,118,097","149,707,124","144,828,445","103,699,730","184,342,802","115,739,487","73,553,543","137,703,514","235,676,379",0,0
