분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
계,계,투자액,억원,원자료,"222,893.3","326,909.37","314,388.66","297,382.84","293,587.66","295,242.68","296,349.13","297,567.2","298,709.13"
계,계,환경부문 투자액,억원,원자료,"30,677.64","45,591.86","44,088.76","47,095.98","45,862.36","46,180.43","46,476.02","46,729.72","47,147.51"
자원순환관리,소계,투자액,억원,원자료,"81,122.29","60,659.35","16,710.54","26,414.1","25,249.39","26,929.2","27,260.33","27,749.66","28,130.9"
자원순환관리,소계,환경부문 투자액,억원,원자료,"12,993.4","17,108.78","8,321.25","8,549.68","8,065.57","8,456.56","8,670.57","8,894.25","9,089.63"
자원순환관리,폐기물관리 기기 제조업,투자액,억원,원자료,"2,097.44","3,485.91","2,598.88","2,684.61","2,511.29","2,711.45","2,821.55","2,936.48","2,938.65"
자원순환관리,폐기물관리 기기 제조업,환경부문 투자액,억원,원자료,"1,054.37","1,781.53","1,140.87",999.05,911.45,942.93,965.97,989.74,978.64
자원순환관리,폐기물관리 관련시설 건설업,투자액,억원,원자료,"7,787.25",445.78,220.84,254.63,256.66,271.87,270.61,269.32,263.42
자원순환관리,폐기물관리 관련시설 건설업,환경부문 투자액,억원,원자료,113.13,138.15,87.79,87.98,88.19,85.23,78.1,71.57,71.39
자원순환관리,폐기물관리 관련 서비스업,투자액,억원,원자료,"32,062.56","23,327.94","1,148.2","5,879.41","5,898.01","6,120.15","6,550.64","7,011.4","7,059.01"
자원순환관리,폐기물관리 관련 서비스업,환경부문 투자액,억원,원자료,"5,949.2","5,119.05","1,003","1,256.53","1,257.81","1,357.81","1,421.92","1,488.9","1,549.01"
자원순환관리,폐자원에너지화 기기 제조업,투자액,억원,원자료,"3,461.32","1,318.38",254.77,550.08,516.94,558.26,576.34,594.79,609.28
자원순환관리,폐자원에너지화 기기 제조업,환경부문 투자액,억원,원자료,"2,809.6",520.94,190.41,163.04,152.22,139.21,142.64,146.23,156.58
자원순환관리,폐자원에너지화 관련 시설 건설업,투자액,억원,원자료,0,"7,442.12",411.96,"3,045.34","3,054.72","3,185.07","3,412.12","3,655.25","3,595.39"
자원순환관리,폐자원에너지화 관련 시설 건설업,환경부문 투자액,억원,원자료,0,39.38,313.16,63.22,63.36,58.39,56.22,51.66,51.42
자원순환관리,폐자원에너지화 관련 서비스업,투자액,억원,원자료,0,"4,552.27","1,396.14","1,230.71","1,236.31","1,326.32","1,449.4","1,583.5","1,592.15"
자원순환관리,폐자원에너지화 관련 서비스업,환경부문 투자액,억원,원자료,0,"3,993.29",633.24,653.91,654.32,664.19,636.73,610.89,613.24
자원순환관리,재생용 가공원료 및 재활용제품 제조업,투자액,억원,원자료,"33,946.24","17,389.22","10,327.96","9,855.72","9,005.68","9,754.77","9,169.92","8,679.97","8,981.58"
자원순환관리,재생용 가공원료 및 재활용제품 제조업,환경부문 투자액,억원,원자료,"2,290.9","4,633.69","4,674.18","4,426.8","4,074.51","4,274.51","4,387.24","4,503.3","4,595.42"
자원순환관리,재활용제품 유통업,투자액,억원,원자료,"1,749.21","2,489.26",280.81,"1,996.77","1,843.17","2,001.59","2,038.27","2,074.92","2,116.35"
자원순환관리,재활용제품 유통업,환경부문 투자액,억원,원자료,759.11,759.4,271.14,497.06,458.25,498.35,514.86,531.97,568.89
자원순환관리,"자원순환 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,18.27,208.47,70.98,916.83,926.62,999.73,971.49,944.05,975.07
자원순환관리,"자원순환 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,17.09,123.35,7.46,402.09,405.47,435.93,466.89,499.98,505.05
물관리,소계,투자액,억원,원자료,"119,348.2","49,591.48","31,950.86","49,764.5","50,548.91","50,687.17","49,221.26","47,855.68","47,455.09"
물관리,소계,환경부문 투자액,억원,원자료,"10,989.48","8,322.05","7,109.33","8,227.38","8,464.01","8,590.97","8,665.44","8,744.82","8,814.3"
물관리,오폐수관리 기기 및 제품 제조업,투자액,억원,원자료,"65,634.59","5,396.96","2,640.08","2,669.57","2,736.31","2,836.36","2,971.48","3,112.66","3,075.81"
물관리,오폐수관리 기기 및 제품 제조업,환경부문 투자액,억원,원자료,"2,019.63","2,062.2","1,707.91","1,702.01","1,740.94","1,582.35","1,580.48","1,578.64","1,562.04"
물관리,오폐수 관련 광업,투자액,억원,원자료,0,0,97.27,94.29,0,0,0,0,0
물관리,오폐수 관련 광업,환경부문 투자액,억원,원자료,0,0,97.27,53.16,0,0,0,0,0
물관리,오폐수관리 관련 건설업,투자액,억원,원자료,"38,960.37","36,092","2,232.37","31,469.94","31,629.03","31,728.23","30,191.04","28,728.24","28,164.47"
물관리,오폐수관리 관련 건설업,환경부문 투자액,억원,원자료,"3,857.96","2,221.95",653.67,673.64,672.22,652.56,651.72,651.23,641.43
물관리,오폐수관리 관련 서비스업,투자액,억원,원자료,"3,411.7","2,414.89","7,119.06","9,233.46","9,549.39","9,434.57","9,128.08","8,831.49","8,893.84"
물관리,오폐수관리 관련 서비스업,환경부문 투자액,억원,원자료,"1,328.9",434.52,"1,928.98","2,088.17","2,106.36","2,232.34","2,328.1","2,428.07","2,457.9"
물관리,수도사업 관련업,투자액,억원,원자료,"11,277.16","5,356.9","17,741.08","5,378.91","5,688.16","5,776.84","5,959.55","6,148.24","6,289"
물관리,수도사업 관련업,환경부문 투자액,억원,원자료,"3,730.58","3,353.61","2,217.24","3,218.59","3,440.87","3,630.45","3,602.61","3,574.95","3,651.02"
물관리,"물 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,64.38,330.73,"2,121",918.33,946.01,911.17,971.11,"1,035.05","1,031.98"
물관리,"물 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,52.41,249.77,504.26,491.81,503.62,493.27,502.53,511.94,501.91
환경복원 및 복구,소계,투자액,억원,원자료,"1,594.61","1,616.38",336.85,"1,089.61","1,125.84","1,092.71","1,138.31","1,185.9","1,149.29"
환경복원 및 복구,소계,환경부문 투자액,억원,원자료,359.91,778.34,257.87,298.85,307.63,302.24,313.83,325.89,318.19
환경복원 및 복구,"토양, 지표수, 지하수 개선 및 정화기기 제조업",투자액,억원,원자료,626.62,147.07,181.91,217.15,226.91,245.71,254.04,262.78,257.44
환경복원 및 복구,"토양, 지표수, 지하수 개선 및 정화기기 제조업",환경부문 투자액,억원,원자료,116.52,113.48,157.34,182.44,189.34,174.35,181.64,189.25,190.53
환경복원 및 복구,"토양, 지표수, 지하수 개선 및 정화관련 서비스업",투자액,억원,원자료,881.48,689.8,120.21,758.85,794.58,735.19,765.99,798.05,773.32
환경복원 및 복구,"토양, 지표수, 지하수 개선 및 정화관련 서비스업",환경부문 투자액,억원,원자료,213.88,129.56,80.08,94.55,98.43,106.56,108.93,111.35,103.33
환경복원 및 복구,"환경복원 및 복구 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,86.51,779.51,34.73,113.61,104.35,111.82,118.27,125.06,118.53
환경복원 및 복구,"환경복원 및 복구 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,29.51,535.3,20.45,21.86,19.87,21.33,23.25,25.29,24.32
기후대응,소계,투자액,억원,원자료,0,"81,580.21","3,938.21","83,921.05","84,756.53","84,827.9","85,570.35","86,342.1","86,931.3"
기후대응,소계,환경부문 투자액,억원,원자료,0,"1,018.87","1,868.65","1,885.17","1,888.19","1,896.52","1,920.33","1,945.13","1,978.83"
기후대응,기후변화 대응 제조업,투자액,억원,원자료,0,467.02,"2,620.34","2,815.26","2,839.7","2,889.72","2,665.95","2,459.45","2,541.47"
기후대응,기후변화 대응 제조업,환경부문 투자액,억원,원자료,0,355.12,643.25,672.82,675.54,653.26,648.37,643.53,657.23
기후대응,기후변화 대응 건설업,투자액,억원,원자료,0,4.63,101.12,146.57,148.18,158.18,145.86,134.32,136.54
기후대응,기후변화 대응 건설업,환경부문 투자액,억원,원자료,0,0.2,30.81,33.32,33.61,35.25,31.15,27.41,27.53
기후대응,기후변화 대응 서비스업,투자액,억원,원자료,0,"81,082.48","1,202.33","80,931.32","81,742.14","81,751.5","82,728.97","83,717.62","84,221.67"
기후대응,기후변화 대응 서비스업,환경부문 투자액,억원,원자료,0,653.94,"1,187.71","1,169.03","1,169.72","1,197.78","1,229.86","1,262.48","1,282.03"
기후대응,"기후대응 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,0,26.08,14.42,27.9,26.5,28.5,29.57,30.71,31.62
기후대응,"기후대응 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,0,9.61,6.88,10,9.32,10.23,10.95,11.72,12.04
대기 관리,소계,투자액,억원,원자료,"4,480.38","9,807.88","16,884.64","17,746.87","16,723.58","16,994.46","17,056.5","17,151.68","16,974.77"
대기 관리,소계,환경부문 투자액,억원,원자료,"1,348.73","3,450.76","7,322.46","7,458.44","6,751.62","6,812.95","6,871.88","6,932.87","6,893.26"
대기 관리,대기오염 통제기기 제조업,투자액,억원,원자료,"1,638.94","4,447.42","9,123.5","10,002.21","9,262.26","9,377.75","9,302.97","9,258.52","9,049.22"
대기 관리,대기오염 통제기기 제조업,환경부문 투자액,억원,원자료,987.53,"1,760.64","6,725.45","6,887.25","6,322.31","6,383.45","6,456.09","6,529.34","6,478.2"
대기 관리,대기오염 통제 관련 광업,투자액,억원,원자료,0,372.24,141.13,412.5,0,0,0,0,0
대기 관리,대기오염 통제 관련 광업,환경부문 투자액,억원,원자료,0,126.2,141.13,147.48,0,0,0,0,0
대기 관리,대기오염 통제 관련 건설업,투자액,억원,원자료,"2,359.14","2,839.82","6,923.04","6,550.55","6,669.02","6,778.6","6,894.02","7,011.47","7,022.39"
대기 관리,대기오염 통제 관련 건설업,환경부문 투자액,억원,원자료,188.7,344.14,11.6,20.56,20.89,22.23,25.28,28.71,27.42
대기 관리,대기오염 통제 관련 서비스업,투자액,억원,원자료,17.83,124.35,288.83,113.35,105.5,115.49,115.66,115.82,113.26
대기 관리,대기오염 통제 관련 서비스업,환경부문 투자액,억원,원자료,17.83,117.88,78.89,46.36,43.12,41.34,42.65,44.01,43.07
대기 관리,실내공기질 통제기기 제조업,투자액,억원,원자료,0,"1,528.71",270.74,292.25,293.57,308.58,322.3,336.59,357.66
대기 관리,실내공기질 통제기기 제조업,환경부문 투자액,억원,원자료,0,723.58,251.42,226.14,226.7,235.2,222.31,210.21,217.69
대기 관리,실내공기질 통제 서비스업,투자액,억원,원자료,0,89.61,25.27,44.52,42.5,43.5,42.62,41.71,43.89
대기 관리,실내공기질 통제 서비스업,환경부문 투자액,억원,원자료,0,55.03,6.28,6.68,6.72,7.2,7.68,8.2,8.6
대기 관리,"대기 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,464.47,405.73,112.13,331.49,350.73,370.55,378.94,387.56,388.35
대기 관리,"대기 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,154.67,323.29,107.69,123.97,131.88,123.53,117.86,112.41,118.29
환경안전보건,소계,투자액,억원,원자료,"5,364.77","14,564.1","4,350.39","5,940.8","6,076.99","5,768.14","6,123.52","6,502.43","6,542.37"
환경안전보건,소계,환경부문 투자액,억원,원자료,"2,287.81","2,084.4","2,225.14","1,754.08","1,772.75","1,709.35","1,804.77","1,911.92","1,912.93"
환경안전보건,소음 및 진동 저감장치 제조업,투자액,억원,원자료,"5,104.57","3,325.46","2,070.93","2,304.78","2,322.03","2,122.06","2,286.48","2,463.83","2,353.29"
환경안전보건,소음 및 진동 저감장치 제조업,환경부문 투자액,억원,원자료,"2,080.54",795.04,862.46,894.96,895.85,856.98,860.17,863.02,857.88
환경안전보건,소음 및 진동 저감시설 건설업,투자액,억원,원자료,89.3,"4,581.64",21.34,77.3,80.86,85.84,86.94,88.06,89.09
환경안전보건,소음 및 진동 저감시설 건설업,환경부문 투자액,억원,원자료,72.97,83.5,13.5,31.99,32.25,33.2,31.94,30.75,31.27
환경안전보건,환경보건 대응 제조업,투자액,억원,원자료,0,"2,715.63","1,863.84","3,005.25","3,140.81","2,991.95","3,140.74","3,297.05","3,416.25"
환경안전보건,환경보건 대응 제조업,환경부문 투자액,억원,원자료,0,659.58,"1,171.29",625.73,651.85,623.16,708.71,805.93,807.36
환경안전보건,환경보건 대응 서비스업,투자액,억원,원자료,0,"3,757.74",362.94,443.87,423.11,453.09,487.52,524.59,558.15
환경안전보건,환경보건 대응 서비스업,환경부문 투자액,억원,원자료,0,390.11,153.19,175.47,166.79,172.35,179.34,186.58,191.16
환경안전보건,"환경안전보건 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,170.9,183.63,31.34,109.6,110.19,115.2,121.83,128.9,125.59
환경안전보건,"환경안전보건 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,134.3,156.17,24.7,25.93,26,23.65,24.61,25.64,25.26
지속가능 환경자원,소계,투자액,억원,원자료,119.75,"83,050.27","190,959.83","57,054.24","57,812.51","58,379.76","57,188.99","56,273.83","56,438.78"
지속가능 환경자원,소계,환경부문 투자액,억원,원자료,117.58,"10,118.63","11,261.03","12,173.3","12,296.71","12,311.19","11,956.88","11,622.75","11,685.82"
지속가능 환경자원,열/에너지 절약 및 회수 기기 제조업,투자액,억원,원자료,0,"21,745.13","180,377.5","21,838.61","22,095.09","22,095.25","23,338.59","24,648.08","24,244.09"
지속가능 환경자원,열/에너지 절약 및 회수 기기 제조업,환경부문 투자액,억원,원자료,0,"1,929.23","1,854.27","1,878.65","1,896.22","1,923.49","1,823.54","1,728.96","1,740.95"
지속가능 환경자원,열/에너지 절약 및 회수 관련 건설업,투자액,억원,원자료,0,531.24,383.23,697.74,711.27,721.23,644.74,576.36,558.26
지속가능 환경자원,열/에너지 절약 및 회수 관련 건설업,환경부문 투자액,억원,원자료,0,360.23,108.52,304.44,306.74,312.52,325.67,339.31,339.19
지속가능 환경자원,열/에너지 절약 및 회수 관련 서비스업,투자액,억원,원자료,0,"3,604.29",671.81,692.54,731.8,741.8,807.19,877.87,887.12
지속가능 환경자원,열/에너지 절약 및 회수 관련 서비스업,환경부문 투자액,억원,원자료,0,"1,305.89",504.77,491.87,516.83,512.34,529.09,546.47,543.05
지속가능 환경자원,생물자원 관리보전기기 제조업,투자액,억원,원자료,0,84.85,95.31,97.38,99.68,100.18,115.12,132.36,129.35
지속가능 환경자원,생물자원 관리보전기기 제조업,환경부문 투자액,억원,원자료,0,77.28,81.79,82.7,83.54,81.23,88.56,96.54,95.18
지속가능 환경자원,생물자원 관리보전 관련 건설업,투자액,억원,원자료,0,38.87,2.36,33.11,35.39,37.4,38.32,39.32,40.15
지속가능 환경자원,생물자원 관리보전 관련 건설업,환경부문 투자액,억원,원자료,0,38.12,2.36,31.96,33.76,36.31,34.98,33.65,34.19
지속가능 환경자원,생물자원 관리보전 관련 서비스업,투자액,억원,원자료,119.75,15.08,434.04,474.62,516.34,526.34,545.3,565.15,566.22
지속가능 환경자원,생물자원 관리보전 관련 서비스업,환경부문 투자액,억원,원자료,117.58,14.91,392.37,396.38,430.97,425.23,411.43,398.35,399.4
지속가능 환경자원,산림 관리 기기 제조업,투자액,억원,원자료,0,985.57,86.9,867.08,887.6,897.56,807.81,727.1,702.58
지속가능 환경자원,산림 관리 기기 제조업,환경부문 투자액,억원,원자료,0,558.98,86.21,627.13,635.97,641.25,625.54,610.17,604.07
지속가능 환경자원,산림 관리 관련 건설업,투자액,억원,원자료,0,"3,938.94",162.65,330.7,339.57,348.68,376.25,405.67,402.13
지속가능 환경자원,산림 관리 관련 건설업,환경부문 투자액,억원,원자료,0,138.41,159.69,219.85,223.87,235.32,227.31,219.81,218.4
