분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
계,소계,매출액,억원,원자료,"6,358,605.03","6,499,199.35","6,275,079.65","6,513,178.15","6,488,582.32","6,526,101.03","6,606,106.16","6,686,116.51","6,730,504.17"
계,소계,환경부문 매출액,억원,원자료,"822,184.64","898,044.06","980,824.77","992,663.99","980,628.1","988,188.23","997,029.78","1,006,623.95","1,015,023.58"
오염관리관련제조업,소계,매출액,억원,원자료,"761,961.15","1,023,021.94","1,304,643.01","1,353,338.29","1,327,265.72","1,356,544.53","1,402,810.82","1,428,842.67","1,433,153.25"
오염관리관련제조업,소계,환경부문 매출액,억원,원자료,"202,413.93","240,163.01","234,504.59","246,073.08","240,171.12","242,144.52","248,128.54","253,605.51","253,795.53"
오염관리관련제조업,폐기물관리기기제조업,매출액,억원,원자료,"171,358.63","89,415.31","182,993.6","297,489.9","287,167.19","281,478.91","292,655.63","304,361.32","307,180.92"
오염관리관련제조업,폐기물관리기기제조업,환경부문 매출액,억원,원자료,"33,603.31","39,617.39","36,372.67","28,401.52","27,375.92","26,883.9","27,340.9","27,533.63","27,788.95"
오염관리관련제조업,오폐수관리기기및제품제조업,매출액,억원,원자료,"357,384.05","243,770.47","192,094.8","181,710.02","187,175.75","217,563.88","231,351.94","232,041.11","229,743.77"
오염관리관련제조업,오폐수관리기기및제품제조업,환경부문 매출액,억원,원자료,"50,423.95","68,526.19","56,917.22","57,086.72","58,256.81","59,542.74","61,090.85","62,054.86","61,534.54"
오염관리관련제조업,"토양,지표수,지하수개선및정화기기제조업",매출액,억원,원자료,"8,185.38","5,567.32","8,594.98","8,538.33","8,988.63","7,447.29","8,057.02","8,475.95","8,372.76"
오염관리관련제조업,"토양,지표수,지하수개선및정화기기제조업",환경부문 매출액,억원,원자료,"2,574.02","3,865.82","4,256.01","3,647.75","3,752.39","3,701.04","3,786.16","3,873.23","3,845.42"
오염관리관련제조업,기후변화대응제조업,매출액,억원,원자료,0,"21,706.18","112,092.49","74,721.08","76,363.08","83,074.76","92,837.32","99,800.23","100,932.72"
오염관리관련제조업,기후변화대응제조업,환경부문 매출액,억원,원자료,0,"12,000.46","19,040.24","18,623.38","18,740.23","19,333.56","19,101.55","19,063.1","19,228.58"
오염관리관련제조업,대기오염통제기기제조업,매출액,억원,원자료,"72,426.97","139,481.85","380,731.63","323,006.1","291,420.09","290,111.85","293,210.4","296,435.02","293,752.28"
오염관리관련제조업,대기오염통제기기제조업,환경부문 매출액,억원,원자료,"43,720.92","38,285.06","42,577.6","46,775.97","41,012.42","42,291.21","43,602.25","44,954.07","44,184.45"
오염관리관련제조업,소음및진동저감장치제조업,매출액,억원,원자료,"89,096.04","92,300.98","215,955.18","320,714.28","328,505.48","328,269.37","336,997.78","340,029.35","340,394.07"
오염관리관련제조업,소음및진동저감장치제조업,환경부문 매출액,억원,원자료,"59,388.86","37,412.77","46,788.12","45,922.59","46,526.26","45,916.42","47,385.75","48,902.89","48,569.27"
오염관리관련제조업,환경보건대응제조업,매출액,억원,원자료,0,"399,342.54","70,208.42","87,793.47","90,414.4","91,126.56","91,287.43","91,568.77","96,240.88"
오염관리관련제조업,환경보건대응제조업,환경부문 매출액,억원,원자료,0,"18,289.14","21,681","18,895.64","19,313.02","19,180.21","20,196.78","21,267.42","22,457.17"
오염관리관련제조업,"환경감시,분석및측정장치제조업",매출액,억원,원자료,"63,510.08","31,437.29","141,971.91","59,365.11","57,231.1","57,471.91","56,413.28","56,130.93","56,535.86"
오염관리관련제조업,"환경감시,분석및측정장치제조업",환경부문 매출액,억원,원자료,"12,702.87","22,166.18","6,871.73","26,719.51","25,194.07","25,295.44","25,624.29","25,956.31","26,187.15"
오염관리관련건설업,소계,매출액,억원,원자료,"2,289,880.73","1,525,322.12","525,005.26","1,038,738.94","1,049,810.7","1,009,059.23","1,009,899.82","1,016,640.92","1,016,739.26"
오염관리관련건설업,소계,환경부문 매출액,억원,원자료,"78,445.54","126,369.53","84,764.4","116,855.7","117,635.44","121,594.4","123,711.82","124,677.59","125,535.35"
오염관리관련건설업,폐기물관리관련시설건설업,매출액,억원,원자료,"515,644.46","56,830.44","41,062.08","21,874.11","22,161.44","25,317.26","20,539.63","20,560.72","20,868.58"
오염관리관련건설업,폐기물관리관련시설건설업,환경부문 매출액,억원,원자료,"7,202.71","8,067.78","10,527.88","10,326.93","10,383.01","10,823.96","11,105.41","11,172.23","11,260.46"
오염관리관련건설업,오폐수관리관련건설업,매출액,억원,원자료,"1,604,754.67","1,354,971.43","400,202.32","779,255.73","781,638.72","782,622.03","788,457.22","793,977.51","797,605.86"
오염관리관련건설업,오폐수관리관련건설업,환경부문 매출액,억원,원자료,"63,833.63","103,252.82","68,423.24","92,275.77","92,594.77","96,115.49","97,557.31","98,049.49","99,104.42"
오염관리관련건설업,대기오염통제관련건설,매출액,억원,원자료,"132,806.7","46,409.85","63,034.27","68,261.43","70,507.91","79,180.6","79,420.25","79,648.13","78,490.2"
오염관리관련건설업,대기오염통제관련건설,환경부문 매출액,억원,원자료,"5,651.36","7,814.92","5,126.57","6,282.23","6,446.48","6,434.21","6,672.25","6,919.81","6,900.16"
오염관리관련건설업,소음및진동저감시설건설업,매출액,억원,원자료,"36,674.9","67,110.4","20,706.59","169,347.67","175,502.63","121,939.34","121,482.72","122,454.55","119,774.61"
오염관리관련건설업,소음및진동저감시설건설업,환경부문 매출액,억원,원자료,"1,757.84","7,234.01",686.71,"7,970.77","8,211.17","8,220.74","8,376.84","8,536.06","8,270.3"
오염관리관련서비스업,소계,매출액,억원,원자료,"1,327,049.98","1,504,802.11","1,413,899.48","1,637,217.48","1,629,150.62","1,607,891.78","1,587,581.29","1,612,510.66","1,625,249.16"
오염관리관련서비스업,소계,환경부문 매출액,억원,원자료,"212,671.72","136,745.13","133,887.2","126,809.28","125,580.46","127,527.44","129,788.87","130,566.29","133,123.49"
오염관리관련서비스업,폐기물관리관련서비스업,매출액,억원,원자료,"421,468.61","229,416.63","54,070.69","102,803.16","103,375.87","106,087.71","100,027.19","95,425.93","98,218.96"
오염관리관련서비스업,폐기물관리관련서비스업,환경부문 매출액,억원,원자료,"108,671.51","37,585.17","23,936.5","28,135.28","28,189.86","28,601.05","28,829.86","29,060.83","29,796.64"
오염관리관련서비스업,"자원순환관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"13,469.89","2,326.69","11,623.42","11,746.29","12,056.49","13,952.78","14,740.24","15,052.21"
오염관리관련서비스업,"자원순환관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"9,973.27",396.82,"3,409.63","3,435.86","3,489.43","3,496.37","3,504.55","3,541.34"
오염관리관련서비스업,오폐수관리관련서비스업,매출액,억원,원자료,"60,166.34","63,223.99","170,033.85","160,167.08","166,766.85","152,540.6","121,385.83","120,172.33","121,627.66"
