분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
계,소계,투자액,억원,원자료,"222,893.3","326,909.37","314,388.66","297,382.84","293,587.66","295,242.68","296,349.13","297,567.2","298,709.13"
계,소계,환경부문 투자액,억원,원자료,"30,677.64","45,591.86","44,088.76","47,095.98","45,862.36","46,180.43","46,476.02","46,729.72","47,147.51"
오염관리관련제조업,소계,투자액,억원,원자료,"76,882.27","20,990.07","22,732.95","24,774.58","23,580.69","23,758.55","24,054.14","24,452.2","24,271.28"
오염관리관련제조업,소계,환경부문 투자액,억원,원자료,"7,293.66","8,156.93","13,016.38","12,606.64","11,804.61","11,668.83","11,854.95","12,054.13","11,978.03"
오염관리관련제조업,폐기물관리기기제조업,투자액,억원,원자료,"2,097.44","3,485.91","2,598.98","2,684.61","2,511.29","2,711.45","2,821.55","2,936.48","2,938.65"
오염관리관련제조업,폐기물관리기기제조업,환경부문 투자액,억원,원자료,"1,054.37","1,781.53","1,140.87",999.05,911.45,942.93,965.97,989.74,978.64
오염관리관련제조업,오폐수관리기기및제품제조업,투자액,억원,원자료,"65,634.58","5,396.96","2,737.35","2,763.86","2,736.31","2,836.36","2,971.48","3,112.66","3,075.81"
오염관리관련제조업,오폐수관리기기및제품제조업,환경부문 투자액,억원,원자료,"2,019.63","2,062.2","1,805.18","1,755.16","1,740.94","1,582.35","1,580.48","1,578.64","1,562.04"
오염관리관련제조업,"토양,지표수,지하수개선및정화기기제조업",투자액,억원,원자료,626.62,147.07,181.91,217.15,226.91,245.71,254.04,262.78,257.44
오염관리관련제조업,"토양,지표수,지하수개선및정화기기제조업",환경부문 투자액,억원,원자료,116.52,113.48,157.34,182.44,189.34,174.35,181.64,189.25,190.53
오염관리관련제조업,기후변화대응제조업,투자액,억원,원자료,0,467.03,"2,620.34","2,815.26","2,839.7","2,889.72","2,665.95","2,459.45","2,541.47"
오염관리관련제조업,기후변화대응제조업,환경부문 투자액,억원,원자료,0,355.11,643.26,672.82,675.54,653.26,648.37,643.53,657.23
오염관리관련제조업,대기오염통제기기제조업,투자액,억원,원자료,"1,638.95","4,819.66","9,264.64","10,414.71","9,262.26","9,377.75","9,302.97","9,258.52","9,049.22"
오염관리관련제조업,대기오염통제기기제조업,환경부문 투자액,억원,원자료,987.53,"1,886.84","6,866.59","7,034.71","6,322.31","6,383.45","6,456.09","6,529.34","6,478.2"
